---------------------------
|Data statistics|Number of|
|-------------------------|
|Records passed |    1,848|
---------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SOrg.|Ship-To Pt|Purchase order no.  |Sales Doc |Created on|Delivery  |Item      |Material          |Dlvy Qty  |DlvTy|Deliv.Date|OvCS|Name 1                             |Name 2                                  |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000200    |661-3974          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000190    |661-3950          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000180    |661-3902          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000160    |661-3864          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000150    |661-3857          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000140    |661-3853          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000130    |661-3852          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000100    |661-3801          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000070    |661-3778          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000060    |661-3760          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000020    |661-3165          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000010    |661-3096          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000480    |661-4443          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000470    |661-4440          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000460    |661-4439          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000450    |661-4437          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000440    |661-4433          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000430    |661-4431          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000420    |661-4406          |22.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000410    |661-4405          |13.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000400    |661-4391          |6.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
